datetime,open,high,low,close,volume,trade_count
2025-09-01 00:00:00,1.1686,1.1688,1.1686,1.1688,6518.5,28
2025-09-01 00:02:00,1.1689,1.1689,1.1687,1.1689,8327.6,29
2025-09-01 00:04:00,1.1689,1.1689,1.1687,1.1688,12937.4,95
2025-09-01 00:06:00,1.1687,1.1689,1.1687,1.1688,29721.5,75
2025-09-01 00:08:00,1.1688,1.1689,1.1688,1.1689,10525.4,13
2025-09-01 00:10:00,1.1689,1.1689,1.1688,1.1688,6733.7,37
2025-09-01 00:12:00,1.1689,1.169,1.1688,1.1689,20208.3,42
2025-09-01 00:14:00,1.1689,1.169,1.1689,1.169,4331.1,24
2025-09-01 00:16:00,1.169,1.169,1.1689,1.1689,3788.7999999999997,26
2025-09-01 00:18:00,1.169,1.169,1.1689,1.169,2404.2,20
2025-09-01 00:20:00,1.1689,1.169,1.1687,1.1687,1279.6,16
2025-09-01 00:22:00,1.1687,1.1689,1.1687,1.1688,4313.7,21
2025-09-01 00:24:00,1.1689,1.1689,1.1688,1.1688,16116.9,106
2025-09-01 00:26:00,1.1688,1.1689,1.1687,1.1688,17566.7,74
2025-09-01 00:28:00,1.1687,1.169,1.1687,1.1689,61413.0,79
2025-09-01 00:30:00,1.1688,1.169,1.1688,1.169,22470.7,86
2025-09-01 00:32:00,1.1689,1.1691,1.1689,1.169,29122.6,48
2025-09-01 00:34:00,1.169,1.1691,1.169,1.1691,32201.0,40
2025-09-01 00:36:00,1.169,1.1691,1.1689,1.169,6074.2,30
2025-09-01 00:38:00,1.169,1.1692,1.169,1.1692,40296.6,57
2025-09-01 00:40:00,1.1691,1.1692,1.169,1.1691,13963.0,42
2025-09-01 00:42:00,1.1691,1.1692,1.169,1.1692,46479.9,82
2025-09-01 00:44:00,1.1692,1.1692,1.169,1.169,6434.5,39
2025-09-01 00:46:00,1.1691,1.1692,1.169,1.1692,2889.0,14
2025-09-01 00:48:00,1.1692,1.1692,1.1692,1.1692,2902.7,54
2025-09-01 00:50:00,1.1692,1.1693,1.1691,1.1693,1856.8,20
2025-09-01 00:52:00,1.1693,1.1693,1.1692,1.1693,1622.8,11
2025-09-01 00:54:00,1.1692,1.1693,1.1691,1.1691,11258.3,43
2025-09-01 00:56:00,1.1692,1.1693,1.1691,1.1691,4797.9,27
2025-09-01 00:58:00,1.1691,1.1693,1.1691,1.1693,3639.3,13
2025-09-01 01:00:00,1.1692,1.1693,1.1692,1.1693,7881.7,57
2025-09-01 01:02:00,1.1692,1.1693,1.1692,1.1692,4441.3,24
2025-09-01 01:04:00,1.1692,1.1693,1.1691,1.1691,9230.0,42
2025-09-01 01:06:00,1.1691,1.1692,1.1689,1.169,14410.4,74
2025-09-01 01:08:00,1.1689,1.1691,1.1689,1.1689,3237.3999999999996,11
2025-09-01 01:10:00,1.169,1.169,1.1688,1.1688,7908.8,31
2025-09-01 01:12:00,1.1689,1.1689,1.1688,1.1689,8143.2,35
2025-09-01 01:14:00,1.1688,1.169,1.1686,1.1687,16135.6,61
2025-09-01 01:16:00,1.1687,1.1689,1.1686,1.1689,5367.2,24
2025-09-01 01:18:00,1.1689,1.169,1.1688,1.169,2121.8,15
2025-09-01 01:20:00,1.1689,1.1689,1.1687,1.1688,9823.4,33
2025-09-01 01:22:00,1.1687,1.1688,1.1687,1.1688,1573.6000000000001,12
