datetime,open,high,low,close,volume,trade_count
2025-04-01 00:00:00,1.0822,1.0825,1.0822,1.0824,23770.4,40
2025-04-01 00:02:00,1.0824,1.0825,1.0822,1.0824,6625.200000000001,31
2025-04-01 00:04:00,1.0825,1.0825,1.0824,1.0824,1225.2,12
2025-04-01 00:06:00,1.0825,1.0825,1.0824,1.0825,2047.3000000000002,19
2025-04-01 00:08:00,1.0824,1.0825,1.0823,1.0823,3660.4,27
2025-04-01 00:10:00,1.0824,1.0827,1.0823,1.0824,16208.5,40
2025-04-01 00:12:00,1.0825,1.0828,1.0824,1.0828,8847.2,25
2025-04-01 00:14:00,1.0829,1.083,1.0827,1.0827,10753.0,42
2025-04-01 00:16:00,1.0828,1.083,1.0827,1.083,3641.1,29
2025-04-01 00:18:00,1.083,1.083,1.0828,1.0829,1216.8,17
2025-04-01 00:20:00,1.083,1.0831,1.0828,1.0829,4176.5,27
2025-04-01 00:22:00,1.083,1.0832,1.083,1.083,1008.8,22
2025-04-01 00:24:00,1.0831,1.0831,1.0829,1.083,414.0,17
2025-04-01 00:26:00,1.083,1.083,1.0828,1.0828,1055.2,23
2025-04-01 00:28:00,1.0828,1.083,1.0827,1.0829,1734.9,15
2025-04-01 00:30:00,1.0829,1.083,1.0826,1.0827,21071.3,189
2025-04-01 00:32:00,1.0828,1.0829,1.0827,1.0827,10956.2,32
2025-04-01 00:34:00,1.0829,1.0829,1.0825,1.0826,7357.4,22
2025-04-01 00:36:00,1.0826,1.0828,1.0825,1.0825,1904.7,26
2025-04-01 00:38:00,1.0827,1.0828,1.0825,1.0827,2651.7999999999997,16
2025-04-01 00:40:00,1.0827,1.0828,1.0825,1.0826,5000.0,26
2025-04-01 00:42:00,1.0826,1.0829,1.0825,1.0826,7848.6,29
2025-04-01 00:44:00,1.0827,1.0828,1.0826,1.0828,1163.3,11
2025-04-01 00:46:00,1.0827,1.0828,1.0826,1.0826,4250.1,37
2025-04-01 00:48:00,1.0826,1.0827,1.0826,1.0827,2607.8,26
2025-04-01 00:50:00,1.0826,1.0828,1.0824,1.0824,1665.3,33
2025-04-01 00:52:00,1.0825,1.0828,1.0825,1.0826,9513.5,57
2025-04-01 00:54:00,1.0827,1.083,1.0826,1.0829,13184.5,34
2025-04-01 00:56:00,1.0829,1.0831,1.0828,1.0831,2134.1,19
2025-04-01 00:58:00,1.0832,1.0832,1.083,1.0832,339.3,13
2025-04-01 01:00:00,1.083,1.0834,1.083,1.0832,6904.8,77
2025-04-01 01:02:00,1.0832,1.0833,1.083,1.0832,2245.7,28
2025-04-01 01:04:00,1.0831,1.0832,1.083,1.0831,2391.6,14
2025-04-01 01:06:00,1.0831,1.0831,1.0829,1.0831,7505.0,16
2025-04-01 01:08:00,1.083,1.0831,1.0827,1.0829,7907.5,28
