datetime,open,high,low,close,volume,trade_count
2025-07-01 00:00:00,1.1784,1.1786,1.1783,1.1785,44921.9,61
2025-07-01 00:02:00,1.1786,1.1787,1.1785,1.1786,25343.399999999998,38
2025-07-01 00:04:00,1.1786,1.1787,1.1786,1.1786,2612.5,9
2025-07-01 00:06:00,1.1786,1.1788,1.1786,1.1788,100038.9,40
2025-07-01 00:08:00,1.1788,1.1788,1.1786,1.1786,5867.1,21
2025-07-01 00:10:00,1.1786,1.1788,1.1786,1.1788,18358.3,29
2025-07-01 00:12:00,1.1787,1.1789,1.1787,1.1788,9873.7,22
2025-07-01 00:14:00,1.1789,1.1791,1.1788,1.1791,24689.0,40
2025-07-01 00:16:00,1.179,1.1791,1.179,1.179,14352.8,29
2025-07-01 00:18:00,1.179,1.1791,1.1789,1.1791,5177.3,17
2025-07-01 00:20:00,1.179,1.179,1.1787,1.1787,32768.9,22
2025-07-01 00:22:00,1.1788,1.1788,1.1784,1.1785,41647.9,47
2025-07-01 00:24:00,1.1784,1.1786,1.1783,1.1785,56533.0,89
2025-07-01 00:26:00,1.1786,1.1789,1.1786,1.1788,50376.4,30
2025-07-01 00:28:00,1.1788,1.1789,1.1788,1.1788,16815.1,15
2025-07-01 00:30:00,1.1788,1.179,1.1788,1.1789,15302.5,138
2025-07-01 00:32:00,1.1791,1.1791,1.1789,1.179,25403.2,40
2025-07-01 00:34:00,1.1789,1.1791,1.1789,1.1789,154887.1,130
2025-07-01 00:36:00,1.179,1.1791,1.1789,1.179,33093.5,61
2025-07-01 00:38:00,1.179,1.179,1.1789,1.1789,49128.299999999996,41
2025-07-01 00:40:00,1.1788,1.179,1.1788,1.179,1764.9,14
2025-07-01 00:42:00,1.1789,1.179,1.1788,1.1788,2699.1,16
2025-07-01 00:44:00,1.1788,1.1789,1.1788,1.1788,2997.8,15
2025-07-01 00:46:00,1.1788,1.1791,1.1788,1.179,3828.7999999999997,17
2025-07-01 00:48:00,1.1791,1.1791,1.179,1.179,8619.3,21
2025-07-01 00:50:00,1.1791,1.1792,1.179,1.1791,2487.4,14
2025-07-01 00:52:00,1.1791,1.1792,1.1791,1.1792,514.4,10
2025-07-01 00:54:00,1.1792,1.1793,1.1791,1.1793,15895.5,12
2025-07-01 00:56:00,1.1793,1.1793,1.1792,1.1793,2417.4,11
2025-07-01 00:58:00,1.1793,1.1795,1.1793,1.1794,5206.299999999999,14
2025-07-01 01:00:00,1.1794,1.1795,1.1794,1.1794,18499.6,64
2025-07-01 01:02:00,1.1793,1.1794,1.1793,1.1794,1281.5,11
2025-07-01 01:04:00,1.1793,1.1794,1.1793,1.1794,3982.6,11
2025-07-01 01:06:00,1.1794,1.1794,1.1792,1.1792,18363.0,23
2025-07-01 01:08:00,1.1792,1.1793,1.1791,1.1791,3123.7,10
2025-07-01 01:10:00,1.1792,1.1792,1.1791,1.1791,3058.4,12
2025-07-01 01:12:00,1.1791,1.1792,1.1791,1.1791,4988.0,8
2025-07-01 01:14:00,1.1791,1.1794,1.1791,1.1794,6520.2,22
2025-07-01 01:16:00,1.1794,1.1794,1.1793,1.1794,3914.6,16
2025-07-01 01:18:00,1.1795,1.1796,1.1795,1.1795,4362.7,17
2025-07-01 01:20:00,1.1797,1.1802,1.1797,1.1799,143956.8,146
2025-07-01 01:22:00,1.18,1.1801,1.1795,1.1795,44218.5,41
2025-07-01 01:24:00,1.1795,1.1795,1.1791,1.1791,8235.199999999999,57
2025-07-01 01:26:00,1.1791,1.1793,1.1791,1.1793,5062.6,23
2025-07-01 01:28:00,1.1792,1.1793,1.1791,1.1791,1766.5,6
2025-07-01 01:30:00,1.1791,1.1791,1.1788,1.1789,18913.5,75
2025-07-01 01:32:00,1.1788,1.1788,1.1786,1.1786,2552.3999999999996,16
2025-07-01 01:34:00,1.1786,1.1787,1.1786,1.1786,10035.1,29
2025-07-01 01:36:00,1.1786,1.1787,1.1784,1.1784,9711.3,26
2025-07-01 01:38:00,1.1785,1.1786,1.1783,1.1786,3267.5,13
2025-07-01 01:40:00,1.1785,1.1785,1.1784,1.1785,1112.3,14
2025-07-01 01:42:00,1.1785,1.1785,1.1784,1.1784,2630.4,10
2025-07-01 01:44:00,1.1785,1.1787,1.1785,1.1786,8863.2,28
2025-07-01 01:46:00,1.1785,1.1785,1.1783,1.1783,39844.0,30
2025-07-01 01:48:00,1.1783,1.1784,1.1782,1.1783,15825.3,13
2025-07-01 01:50:00,1.1782,1.1782,1.1781,1.1781,14940.7,8
2025-07-01 01:52:00,1.178,1.1781,1.1779,1.178,8678.3,23
2025-07-01 01:54:00,1.178,1.178,1.1778,1.1778,24359.1,25
2025-07-01 01:56:00,1.1778,1.178,1.1778,1.1779,12631.2,35
2025-07-01 01:58:00,1.1779,1.1779,1.1778,1.1779,10752.7,23
2025-07-01 02:00:00,1.1778,1.1778,1.1775,1.1776,20493.800000000003,57
2025-07-01 02:02:00,1.1776,1.1778,1.1776,1.1776,46594.9,21
2025-07-01 02:04:00,1.1776,1.1777,1.1776,1.1777,3922.0,11
2025-07-01 02:06:00,1.1777,1.1779,1.1777,1.1778,5899.4,18
2025-07-01 02:08:00,1.1779,1.1779,1.1776,1.1777,74319.8,44
2025-07-01 02:10:00,1.1777,1.1777,1.1776,1.1777,4041.8,13
2025-07-01 02:12:00,1.1777,1.1777,1.1776,1.1777,4255.5,15
2025-07-01 02:14:00,1.1776,1.1777,1.1776,1.1776,2122.7,18
2025-07-01 02:16:00,1.1776,1.1779,1.1776,1.1779,4369.2,12
2025-07-01 02:18:00,1.1779,1.1779,1.1778,1.1778,4644.1,21
2025-07-01 02:20:00,1.1777,1.1777,1.1776,1.1777,2875.4,12
2025-07-01 02:22:00,1.1777,1.1777,1.1776,1.1776,3381.7,12
2025-07-01 02:24:00,1.1776,1.1778,1.1776,1.1778,2054.5,10
2025-07-01 02:26:00,1.1777,1.1778,1.1777,1.1778,2117.2,8
2025-07-01 02:28:00,1.1779,1.1779,1.1778,1.1778,1991.2,12
2025-07-01 02:30:00,1.1778,1.178,1.1778,1.178,27624.5,149
2025-07-01 02:32:00,1.1779,1.178,1.1779,1.1779,1432.5,9
2025-07-01 02:34:00,1.178,1.178,1.1778,1.1778,51948.1,47
2025-07-01 02:36:00,1.1778,1.1781,1.1778,1.1781,8709.8,25
2025-07-01 02:38:00,1.178,1.1781,1.178,1.1781,5538.9,11
2025-07-01 02:40:00,1.1782,1.1782,1.1781,1.1781,25509.0,37
2025-07-01 02:42:00,1.1781,1.1781,1.178,1.1781,5806.4,23
2025-07-01 02:44:00,1.1781,1.1781,1.178,1.1781,2505.2,12
2025-07-01 02:46:00,1.1782,1.1784,1.1782,1.1783,53638.0,64
2025-07-01 02:48:00,1.1783,1.1784,1.1783,1.1783,2689.2,12
2025-07-01 02:50:00,1.1784,1.1784,1.1783,1.1784,2669.5,12
2025-07-01 02:52:00,1.1784,1.1785,1.1783,1.1784,5751.9,21
2025-07-01 02:54:00,1.1785,1.1785,1.1785,1.1785,1895.2,11
2025-07-01 02:56:00,1.1785,1.1786,1.1785,1.1786,1095.7,8
2025-07-01 02:58:00,1.1786,1.1786,1.1785,1.1786,2288.4,12
2025-07-01 03:00:00,1.1785,1.1786,1.1785,1.1786,1090.6999999999998,7
2025-07-01 03:02:00,1.1785,1.1787,1.1785,1.1787,1045.0,7
2025-07-01 03:04:00,1.1787,1.1787,1.1786,1.1787,4441.8,20
2025-07-01 03:06:00,1.1787,1.1787,1.1785,1.1786,14948.5,37
2025-07-01 03:08:00,1.1786,1.1787,1.1785,1.1787,11506.3,24
2025-07-01 03:10:00,1.1787,1.1787,1.1786,1.1786,3115.7,23
2025-07-01 03:12:00,1.1787,1.1788,1.1786,1.1786,27183.600000000002,13
2025-07-01 03:14:00,1.1786,1.1788,1.1786,1.1788,8671.3,17
2025-07-01 03:16:00,1.1788,1.1788,1.1787,1.1788,7312.3,22
2025-07-01 03:18:00,1.1787,1.1789,1.1787,1.1789,9734.8,20
2025-07-01 03:20:00,1.1789,1.179,1.1788,1.179,4213.5,11
2025-07-01 03:22:00,1.1789,1.179,1.1789,1.1789,548.6,9
2025-07-01 03:24:00,1.1789,1.179,1.1789,1.179,412.4,12
2025-07-01 03:26:00,1.179,1.179,1.1788,1.1788,17828.0,23
2025-07-01 03:28:00,1.1788,1.1788,1.1786,1.1787,10054.0,16
2025-07-01 03:30:00,1.1786,1.1787,1.1786,1.1786,8290.1,22
2025-07-01 03:32:00,1.1786,1.1786,1.1784,1.1786,4713.8,15
2025-07-01 03:34:00,1.1785,1.1785,1.1784,1.1785,1828.8999999999999,14
2025-07-01 03:36:00,1.1784,1.1786,1.1784,1.1786,1301.3,16
2025-07-01 03:38:00,1.1787,1.1789,1.1787,1.1789,1521.4,14
2025-07-01 03:40:00,1.1789,1.1789,1.1788,1.1789,3864.3,15
2025-07-01 03:42:00,1.1789,1.1789,1.1789,1.1789,4550.5,25
2025-07-01 03:44:00,1.1789,1.179,1.1789,1.179,3453.7,12
2025-07-01 03:46:00,1.179,1.179,1.1789,1.179,8354.5,20
2025-07-01 03:48:00,1.179,1.179,1.179,1.179,5869.9,15
2025-07-01 03:50:00,1.179,1.179,1.1788,1.1789,31268.4,18
2025-07-01 03:52:00,1.1789,1.1789,1.1788,1.1788,25395.9,33
2025-07-01 03:54:00,1.1787,1.1788,1.1785,1.1785,21051.1,30
2025-07-01 03:56:00,1.1785,1.1786,1.1784,1.1786,17276.8,34
2025-07-01 03:58:00,1.1786,1.1787,1.1785,1.1787,54905.299999999996,27
2025-07-01 04:00:00,1.1787,1.1787,1.1787,1.1787,4009.2000000000003,14
2025-07-01 04:02:00,1.1787,1.1788,1.1786,1.1787,3302.4,25
2025-07-01 04:04:00,1.1786,1.1787,1.1785,1.1785,4897.0,33
2025-07-01 04:06:00,1.1785,1.1785,1.1783,1.1785,11358.800000000001,31
2025-07-01 04:08:00,1.1785,1.1786,1.1785,1.1786,6414.1,15
2025-07-01 04:10:00,1.1786,1.1789,1.1786,1.1788,4705.5,18
2025-07-01 04:12:00,1.1789,1.179,1.1788,1.179,8338.7,26
2025-07-01 04:14:00,1.179,1.179,1.1789,1.1789,6449.7,18
2025-07-01 04:16:00,1.1789,1.179,1.1789,1.179,4021.9,17
2025-07-01 04:18:00,1.1789,1.179,1.1789,1.179,3443.6,29
2025-07-01 04:20:00,1.179,1.179,1.1789,1.1789,6063.0,27
2025-07-01 04:22:00,1.1791,1.1791,1.179,1.1791,2558.3,18
2025-07-01 04:24:00,1.1791,1.1791,1.179,1.1791,9448.1,23
2025-07-01 04:26:00,1.1791,1.1791,1.179,1.179,35631.6,37
2025-07-01 04:28:00,1.179,1.179,1.1788,1.1789,22006.7,42
2025-07-01 04:30:00,1.1788,1.1789,1.1786,1.1786,30624.5,44
2025-07-01 04:32:00,1.1786,1.1787,1.1786,1.1787,11301.0,22
2025-07-01 04:34:00,1.1787,1.1787,1.1785,1.1786,17676.6,36
2025-07-01 04:36:00,1.1785,1.1787,1.1785,1.1787,13527.199999999999,36
2025-07-01 04:38:00,1.1787,1.1787,1.1785,1.1785,7014.2,16
2025-07-01 04:40:00,1.1784,1.1785,1.1784,1.1784,1894.3,14
2025-07-01 04:42:00,1.1784,1.1785,1.1784,1.1784,7553.9,18
2025-07-01 04:44:00,1.1785,1.1785,1.1782,1.1783,6126.4,32
2025-07-01 04:46:00,1.1782,1.1784,1.1782,1.1783,2763.6,23
2025-07-01 04:48:00,1.1783,1.1784,1.1783,1.1784,2153.6,25
2025-07-01 04:50:00,1.1784,1.1784,1.1782,1.1783,6622.8,32
2025-07-01 04:52:00,1.1783,1.1783,1.1782,1.1782,15731.4,27
2025-07-01 04:54:00,1.1782,1.1782,1.178,1.1781,11133.8,38
2025-07-01 04:56:00,1.1781,1.1781,1.178,1.1781,7719.9,18
2025-07-01 04:58:00,1.1781,1.1782,1.1781,1.1782,21934.6,60
2025-07-01 05:00:00,1.1782,1.1783,1.1782,1.1782,3845.0,23
2025-07-01 05:02:00,1.1782,1.1783,1.1782,1.1783,2570.2,19
2025-07-01 05:04:00,1.1783,1.1784,1.1782,1.1784,9731.6,30
2025-07-01 05:06:00,1.1783,1.1784,1.1782,1.1783,7525.400000000001,34
2025-07-01 05:08:00,1.1783,1.1783,1.1782,1.1782,5384.5,32
2025-07-01 05:10:00,1.1782,1.1782,1.1781,1.1781,9577.8,25
2025-07-01 05:12:00,1.1781,1.1782,1.1781,1.1781,17240.6,36
2025-07-01 05:14:00,1.1782,1.1782,1.1781,1.1782,5025.9,15
2025-07-01 05:16:00,1.1782,1.1782,1.1779,1.1779,9340.8,30
2025-07-01 05:18:00,1.1779,1.178,1.1779,1.1779,9180.9,29
2025-07-01 05:20:00,1.1779,1.1781,1.1779,1.1781,35777.1,24
2025-07-01 05:22:00,1.1781,1.1782,1.1781,1.1781,3986.2999999999997,19
2025-07-01 05:24:00,1.1782,1.1783,1.1781,1.1783,16083.1,124
2025-07-01 05:26:00,1.1783,1.1784,1.1782,1.1783,12860.5,29
2025-07-01 05:28:00,1.1782,1.1784,1.1782,1.1784,31444.0,42
2025-07-01 05:30:00,1.1784,1.1785,1.1784,1.1785,10355.3,24
2025-07-01 05:32:00,1.1785,1.1785,1.1784,1.1785,4027.4,15
2025-07-01 05:34:00,1.1784,1.1785,1.1784,1.1785,5350.3,25
2025-07-01 05:36:00,1.1785,1.1785,1.1784,1.1785,13818.8,59
2025-07-01 05:38:00,1.1785,1.1785,1.1784,1.1784,27284.9,36
2025-07-01 05:40:00,1.1784,1.1784,1.1781,1.1781,25649.0,34
2025-07-01 05:42:00,1.1781,1.1782,1.1779,1.178,15152.1,56
2025-07-01 05:44:00,1.178,1.1781,1.1778,1.1779,18979.6,25
2025-07-01 05:46:00,1.1779,1.1781,1.1778,1.1781,27671.5,35
2025-07-01 05:48:00,1.178,1.1781,1.1777,1.1778,21309.7,46
2025-07-01 05:50:00,1.1777,1.1779,1.1777,1.1778,16602.4,34
2025-07-01 05:52:00,1.1777,1.1781,1.1777,1.178,36209.9,53
2025-07-01 05:54:00,1.1779,1.1781,1.1779,1.1781,30164.3,37
2025-07-01 05:56:00,1.178,1.1784,1.178,1.1784,32643.8,40
2025-07-01 05:58:00,1.1783,1.1784,1.1782,1.1783,34942.1,74
2025-07-01 06:00:00,1.1783,1.1784,1.1778,1.1778,51225.6,62
2025-07-01 06:02:00,1.1778,1.1779,1.1776,1.1778,36908.6,45
2025-07-01 06:04:00,1.1778,1.178,1.1777,1.1777,56664.7,53
2025-07-01 06:06:00,1.1778,1.1778,1.1776,1.1777,6370.5,31
2025-07-01 06:08:00,1.1778,1.1778,1.1776,1.1776,47523.5,71
2025-07-01 06:10:00,1.1776,1.1777,1.1775,1.1776,20793.8,47
2025-07-01 06:12:00,1.1775,1.1775,1.1774,1.1775,13105.5,28
2025-07-01 06:14:00,1.1775,1.1776,1.1774,1.1775,13875.7,39
2025-07-01 06:16:00,1.1776,1.1776,1.1774,1.1774,33658.8,33
2025-07-01 06:18:00,1.1774,1.1776,1.1774,1.1774,5670.099999999999,25
2025-07-01 06:20:00,1.1775,1.1776,1.1772,1.1772,45376.6,60
2025-07-01 06:22:00,1.1772,1.1773,1.1771,1.1772,24706.7,39
2025-07-01 06:24:00,1.1772,1.1775,1.1772,1.1774,43425.5,50
2025-07-01 06:26:00,1.1774,1.1775,1.1774,1.1774,15054.0,40
2025-07-01 06:28:00,1.1774,1.1777,1.1774,1.1776,17118.0,51
2025-07-01 06:30:00,1.1776,1.1778,1.1776,1.1777,36706.4,63
2025-07-01 06:32:00,1.1777,1.1777,1.1775,1.1775,40651.0,51
2025-07-01 06:34:00,1.1775,1.1777,1.1775,1.1776,10052.7,29
2025-07-01 06:36:00,1.1777,1.1778,1.1774,1.1774,11428.1,42
2025-07-01 06:38:00,1.1775,1.1776,1.1773,1.1775,17378.7,32
2025-07-01 06:40:00,1.1776,1.1778,1.1776,1.1778,20345.3,32
2025-07-01 06:42:00,1.1777,1.1779,1.1777,1.1779,48826.7,36
2025-07-01 06:44:00,1.1779,1.1779,1.1778,1.1778,13093.9,36
2025-07-01 06:46:00,1.1779,1.1779,1.1777,1.1777,35038.0,44
2025-07-01 06:48:00,1.1777,1.1778,1.1776,1.1777,53234.9,48
2025-07-01 06:50:00,1.1777,1.178,1.1774,1.1777,111141.1,138
2025-07-01 06:52:00,1.1778,1.1779,1.1776,1.1776,93556.6,118
2025-07-01 06:54:00,1.1776,1.1777,1.1775,1.1775,45153.4,40
2025-07-01 06:56:00,1.1774,1.1774,1.1773,1.1774,50993.7,64
2025-07-01 06:58:00,1.1775,1.1775,1.1773,1.1773,30309.5,24
2025-07-01 07:00:00,1.1773,1.1774,1.177,1.177,53168.6,74
2025-07-01 07:02:00,1.177,1.177,1.1762,1.1763,75305.9,121
2025-07-01 07:04:00,1.1764,1.177,1.1764,1.1769,39091.5,83
2025-07-01 07:06:00,1.1769,1.1771,1.1768,1.177,62333.9,62
2025-07-01 07:08:00,1.177,1.1771,1.1769,1.177,29898.800000000003,58
2025-07-01 07:10:00,1.177,1.1778,1.177,1.1778,32453.5,62
2025-07-01 07:12:00,1.1777,1.1778,1.1776,1.1776,12710.2,40
2025-07-01 07:14:00,1.1777,1.1778,1.1775,1.1777,44299.700000000004,51
2025-07-01 07:16:00,1.1778,1.178,1.1778,1.178,3373.6000000000004,11
